date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:31:40	22699/22699	U-----	200	untouched ('OK')	text/html	etag:%2258ab-4c2ee77a2b700%22	http://www.lab.westilian.com/bingo-admin/file-manager.html	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/file-manager.html	(from )
18:31:40	246/246	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2010%20Mar%202019%2017:31:39%20GMT	http://www.lab.westilian.com/robots.txt		(from )
18:31:41	13428/13428	U-----	200	untouched ('OK')	text/css	etag:%223474-4c2ef19488d00%22	http://www.lab.westilian.com/bingo-admin/css/layout.css	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/css/layout.css	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
18:31:41	1153/1153	U-----	200	untouched ('OK')	text/css	etag:%22481-4c003453e7a80%22	http://www.lab.westilian.com/bingo-admin/css/reset.css	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/css/reset.css	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
18:31:41	5578/5578	U-----	200	untouched ('OK')	text/css	etag:%2215ca-4bfb797d3c080%22	http://www.lab.westilian.com/bingo-admin/css/themes.css	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/css/themes.css	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
18:31:41	7960/7960	U-----	200	untouched ('OK')	text/css	etag:%221f18-4c1a495de1700%22	http://www.lab.westilian.com/bingo-admin/css/typography.css	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/css/typography.css	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
18:31:42	9456/9456	U-----	200	untouched ('OK')	text/css	etag:%2224f0-4bfb7689eca80%22	http://www.lab.westilian.com/bingo-admin/css/shCore.css	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/css/shCore.css	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
18:31:42	2681/2681	U-----	200	untouched ('OK')	text/css	etag:%22a79-4bea31e87b700%22	http://www.lab.westilian.com/bingo-admin/css/bootstrap.css	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/css/bootstrap.css	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
18:31:42	198340/198340	U-----	200	untouched ('OK')	text/css	etag:%22306c4-4c1f3cc8f4e00%22	http://www.lab.westilian.com/bingo-admin/css/styles.css	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/css/styles.css	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
18:31:42	6821/6821	U-----	200	untouched ('OK')	text/css	etag:%221aa5-4bfdcfbdb3480%22	http://www.lab.westilian.com/bingo-admin/css/jquery.jqplot.css	C:/Users/ligature/Documents/BL/www.lab.westilian.com/bingo-admin/css/jquery.jqplot.css	(from http://www.lab.westilian.com/bingo-admin/file-manager.html)
